Dates,SPX Index,LBUSTRUU Index
7/28/2000,2343.82,678.71
7/31/2000,2362.66,679.11
8/1/2000,2375.17,680.54
8/2/2000,2376.39,681.46
8/3/2000,2400.49,682.54
8/4/2000,2418.64,684.59
8/7/2000,2446.9,683.92
8/8/2000,2453.09,685.52
8/9/2000,2436.23,686.07
8/10/2000,2414.83,687.87
8/11/2000,2434.93,686
8/14/2000,2468.98,686.85
8/15/2000,2456.71,686.16
8/16/2000,2449.13,685.41
8/17/2000,2477.11,685.87
8/18/2000,2469.7,686.94
8/21/2000,2483.08,686.7
8/22/2000,2480.76,687.26
8/23/2000,2494.46,689.27
8/24/2000,2498.51,689.91
8/25/2000,2495.33,689.89
8/28/2000,2508.53,688.66
8/29/2000,2501.4,687.38
8/30/2000,2489.59,687.64
8/31/2000,2515.63,690.4
9/1/2000,2521,692.28
9/4/2000,#N/A,#N/A
9/5/2000,2497.41,693.27
9/6/2000,2472.09,691.86
9/7/2000,2489.83,690.81
9/8/2000,2476.04,691.58
9/11/2000,2467.04,690.85
9/12/2000,2454.51,690.79
9/13/2000,2460.12,692.64
9/14/2000,2453.2,690.99
9/15/2000,2427.24,690.27
9/18/2000,2390.56,690.27
9/19/2000,2417.1,690.58
9/20/2000,2402.4,689.53
9/21/2000,2398.51,690.83
9/22/2000,2397.95,692.07
9/25/2000,2381.24,692.68
9/26/2000,2360.87,694.18
9/27/2000,2360.11,693.67
9/28/2000,2414.82,694.18
9/29/2000,2377.53,695.37
10/2/2000,2377.05,694.91
10/3/2000,2360.26,693.95
10/4/2000,2374.16,693.13
10/5/2000,2377.99,694.19
10/6/2000,2330.91,695.16
10/9/2000,2318.9,#N/A
10/10/2000,2293.11,695.82
10/11/2000,2254.53,696.42
10/12/2000,2194.52,698.14
10/13/2000,2271.12,698.06
10/16/2000,2271.9,697.7
10/17/2000,2229.36,699.9
10/18/2000,2215.97,699.81
10/19/2000,2296.46,700.94
10/20/2000,2310.56,702.31
10/23/2000,2308.59,704.56
10/24/2000,2312.66,703.82
10/25/2000,2255.36,702.13
10/26/2000,2254.58,702.18
10/27/2000,2280.85,701.35
10/30/2000,2313.97,701.34
10/31/2000,2367.05,700.63
11/1/2000,2353.14,702.02
11/2/2000,2365.59,702.57
11/3/2000,2362.82,699.87
11/6/2000,2372.38,699.16
11/7/2000,2371.88,699.31
11/8/2000,2333.13,699.8
11/9/2000,2317.74,701.37
11/10/2000,2258.76,701.47
11/13/2000,2233.57,703.13
11/14/2000,2288.45,703.76
11/15/2000,2300.6,705.06
11/16/2000,2270.46,706.15
11/17/2000,2262.62,704.97
11/20/2000,2219.28,705.48
11/21/2000,2227.61,705.68
11/22/2000,2184.45,708.1
11/23/2000,#N/A,#N/A
11/24/2000,2218.02,707.4
11/27/2000,2230.46,707.48
11/28/2000,2208.45,708.85
11/29/2000,2219.13,710.45
11/30/2000,2172.56,713.72
12/1/2000,2173.04,711.81
12/4/2000,2189.89,712.36
12/5/2000,2279.04,715.92
12/6/2000,2236.15,719.73
12/7/2000,2222.55,720.36
12/8/2000,2268.1,719.42
12/11/2000,2285.95,719.33
12/12/2000,2270.36,719.82
12/13/2000,2251.5,722.5
12/14/2000,2218.59,724.86
12/15/2000,2168.84,725.56
12/18/2000,2187.18,726.34
12/19/2000,2157.56,725.54
12/20/2000,2087.03,728.46
12/21/2000,2104.55,730.03
12/22/2000,2158.35,730.89
12/25/2000,#N/A,#N/A
12/26/2000,2174.29,730.63
12/27/2000,2198.55,728.76
12/28/2000,2207.78,728.19
12/29/2000,2183.66,728.82
1/1/2001,#N/A,#N/A
1/2/2001,2119.65,736.09
1/3/2001,2231.14,731.44
1/4/2001,2206.6,735.67
1/5/2001,2146.08,740.19
1/8/2001,2142.24,741.53
1/9/2001,2150.87,739.3
1/10/2001,2172.64,736.3
1/11/2001,2196.1,735.62
1/12/2001,2181.39,731.8
1/15/2001,#N/A,#N/A
1/16/2001,2195.81,732.91
1/17/2001,2200.81,735.79
1/18/2001,2232.86,739.26
1/19/2001,2223.46,736.8
1/22/2001,2224.09,735.74
1/23/2001,2254.37,733.93
1/24/2001,2261.15,733.81
1/25/2001,2249.42,735.49
1/26/2001,2245.1,736.15
1/29/2001,2261.21,735.74
1/30/2001,2277.83,738.49
1/31/2001,2264.69,742.37
2/1/2001,2277.81,745.38
2/2/2001,2236.27,742.33
2/5/2001,2244.71,742.19
2/6/2001,2241.28,740.49
2/7/2001,2222.1,740.94
2/8/2001,2207.64,740.87
2/9/2001,2176.94,743.17
2/12/2001,2203.91,742.27
2/13/2001,2184.17,741.14
2/14/2001,2179.61,739.57
2/15/2001,2198.3,737.82
2/16/2001,2154.87,740.96
2/19/2001,#N/A,#N/A
2/20/2001,2115.76,741.39
2/21/2001,2074.89,740.22
2/22/2001,2070.71,740.48
2/23/2001,2058.68,742.32
2/26/2001,2096.55,744.29
2/27/2001,2079.89,747.81
2/28/2001,2049.05,749.71
3/1/2001,2051.34,751.3
3/2/2001,2039.12,748.17
3/5/2001,2051.97,748.15
3/6/2001,2073.49,748.28
3/7/2001,2087.94,750.82
3/8/2001,2092.95,751.98
3/9/2001,2038.65,750.43
3/12/2001,1946.32,750.86
3/13/2001,1977.1,750.33
3/14/2001,1923.45,753.44
3/15/2001,1935.37,754.77
3/16/2001,1895.44,756.35
3/19/2001,1930.65,754.8
3/20/2001,1881.79,756.69
3/21/2001,1846.35,757.57
3/22/2001,1838.47,759.22
3/23/2001,1877.07,756.52
3/26/2001,1899.37,755.38
3/27/2001,1950.51,751.03
3/28/2001,1900.64,751.61
3/29/2001,1891.43,752.19
3/30/2001,1912.91,753.98
