Dates,LBUSTRUU_CUMULATIVE_TOT_RETURN_GROSS_DVDS,SPX_CUMULATIVE_TOT_RETURN_GROSS_DVDS
12/31/2009,-1.5631,1.9313
1/1/2010,-1.5631,1.9313
1/4/2010,-1.4315,3.571
1/5/2010,-0.9969,3.8948
1/6/2010,-1.0864,3.997
1/7/2010,-1.1375,4.4197
1/8/2010,-1.0487,4.7197
1/11/2010,-1.0046,4.9026
1/12/2010,-0.6103,3.9185
1/13/2010,-0.834,4.7941
1/14/2010,-0.5732,5.0503
1/15/2010,-0.3592,3.9174
1/18/2010,-0.3592,3.9174
1/19/2010,-0.4735,5.2163
1/20/2010,-0.2984,4.1171
1/21/2010,-0.0901,2.1473
1/22/2010,-0.1131,-0.1143
1/25/2010,-0.2269,0.3471
1/26/2010,-0.2435,-0.0738
1/27/2010,-0.2889,0.4173
1/28/2010,-0.3036,-0.7601
1/29/2010,-0.0594,-1.7353
2/1/2010,-0.2173,-0.3334
2/2/2010,-0.1035,0.96
2/3/2010,-0.2889,0.4412
2/4/2010,0.03,-2.684
2/5/2010,0.2365,-2.4016
2/8/2010,0.0703,-3.2349
2/9/2010,-0.1169,-1.9697
2/10/2010,-0.3547,-2.1637
2/11/2010,-0.4397,-1.2032
2/12/2010,-0.2799,-1.4538
2/15/2010,-0.2799,-1.4538
2/16/2010,-0.1336,0.3338
2/17/2010,-0.4071,0.7762
2/18/2010,-0.5879,1.4476
2/19/2010,-0.5509,1.6849
2/22/2010,-0.4716,1.5811
2/23/2010,-0.0748,0.3517
2/24/2010,-0.1022,1.3461
2/25/2010,0.0748,1.1607
2/26/2010,0.3138,1.3066
3/1/2010,0.2972,2.3385
3/2/2010,0.3687,2.577
3/3/2010,0.3847,2.6366
3/4/2010,0.4486,3.0225
3/5/2010,0.2288,4.4695
3/8/2010,0.2198,4.4702
3/9/2010,0.3342,4.654
3/10/2010,0.2965,5.1408
3/11/2010,0.3246,5.6008
3/12/2010,0.3611,5.5789
3/15/2010,0.4231,5.6287
3/16/2010,0.6295,6.4517
3/17/2010,0.6927,7.0731
3/18/2010,0.5943,7.04
3/19/2010,0.5445,6.4955
3/22/2010,0.6192,7.041
3/23/2010,0.6327,7.8213
3/24/2010,0.1208,7.2299
3/25/2010,-0.1125,7.0471
3/26/2010,0.0824,7.1265
3/29/2010,0.1042,7.7545
3/30/2010,0.0556,7.7717
3/31/2010,0.1904,7.4201
4/1/2010,0.053,8.2205
4/2/2010,-0.3055,8.2205
