Dates,SPX Index,LBUSTRUU Index,SPGSCI Index,RMSG Index,LP01TREU Index,TWSE Index,IBOV Index,SASEIDX Index,NKY Index,MXDK Index,SMI Index,VNINDEX Index
7/28/2000,2343.82,678.71,-14.81,77.56,20.63,1410.09,385.30,23.00,444.65,1369.69,446.02,0.00
7/31/2000,2362.66,679.11,-16.08,78.33,20.13,1406.57,387.38,23.81,441.08,1407.19,450.71,1.55
8/1/2000,2375.17,680.54,-15.29,81.37,20.29,1381.04,380.07,23.59,455.30,1425.30,#N/A,1.55
8/2/2000,2376.39,681.46,-14.04,80.90,20.50,1368.98,378.52,23.81,461.75,1402.01,452.53,3.36
8/3/2000,2400.49,682.54,-13.57,79.40,20.46,1356.52,387.98,23.83,450.09,1376.50,445.45,3.36
8/4/2000,2418.64,684.59,-11.80,77.34,20.56,1373.05,391.76,23.83,444.67,1403.59,444.39,5.16
8/7/2000,2446.90,683.92,-13.36,76.05,20.73,1332.09,397.81,24.33,453.68,1438.57,454.05,6.87
8/8/2000,2453.09,685.52,-12.86,76.34,21.27,1347.52,393.32,24.37,449.83,1398.33,451.17,#N/A
8/9/2000,2436.23,686.07,-11.21,76.85,21.40,1394.05,384.00,25.07,460.28,1427.52,449.56,8.58
8/10/2000,2414.83,687.87,-9.79,76.86,20.98,1391.68,392.82,25.49,454.37,1438.86,450.00,#N/A
8/11/2000,2434.93,686.00,-9.96,77.59,21.28,1380.48,409.36,#N/A,459.45,1460.21,448.29,10.29
8/14/2000,2468.98,686.85,-9.55,77.79,21.22,1357.27,419.50,28.19,456.51,1496.19,451.39,12.01
8/15/2000,2456.71,686.16,-9.90,76.84,20.34,1358.44,417.27,28.20,463.80,1519.28,451.75,#N/A
8/16/2000,2449.13,685.41,-9.43,77.46,20.25,1385.48,404.39,29.92,468.25,1540.75,457.27,13.70
8/17/2000,2477.11,685.87,-8.76,77.71,19.83,1411.82,414.78,30.63,462.51,1510.82,453.21,#N/A
8/18/2000,2469.70,686.94,-8.18,76.64,19.98,1419.52,401.11,#N/A,466.51,1478.92,445.53,15.39
