Date,Sentiment Index,PUT_CALL_VOLUME_RATIO_CUR_DAY,BEST_PE_RATIO
2014-01-01,81.2,1.0429,16.7747
2014-01-02,81.2,1.8041,16.6256
2014-01-03,81.2,1.9589,16.6192
2014-01-06,81.2,1.3972,16.5829
2014-01-07,81.2,2.034,16.6853
2014-01-08,81.2,1.7187,16.6867
2014-01-09,81.2,1.6091,16.6959
2014-01-10,81.2,1.4204,16.7383
2014-01-13,81.2,1.6335,16.5312
2014-01-14,81.2,1.1161,16.7008
2014-01-15,81.2,1.1071,16.7115
2014-01-16,81.2,1.5087,16.869
2014-01-17,81.2,2.2506,16.8369
2014-01-20,81.2,2.2506,16.8379
2014-01-21,81.2,2.0353,16.8934
2014-01-22,81.2,3.2337,16.9319
2014-01-23,81.2,2.0968,16.7619
2014-01-24,81.2,1.9657,16.4049
2014-01-27,81.2,1.8048,16.3175
2014-01-28,81.2,1.6683,16.4626
2014-01-29,81.2,1.6406,16.2888
2014-01-30,81.2,1.6008,16.567
2014-01-31,81.2,2.0478,16.4643
2014-02-03,81.6,1.8484,16.1194
2014-02-04,81.6,1.888,16.2631
2014-02-05,81.6,1.8982,16.2918
2014-02-06,81.6,1.8624,16.5199
2014-02-07,81.6,1.461,16.7454
2014-02-10,81.6,1.4958,16.774
2014-02-11,81.6,1.5302,16.964
2014-02-12,81.6,1.3962,16.949
2014-02-13,81.6,1.3611,17.0502
2014-02-14,81.6,1.3481,17.1419
2014-02-17,81.6,1.3481,17.1419
2014-02-18,81.6,1.3127,17.1657
2014-02-19,81.6,1.8092,17.0617
2014-02-20,81.6,1.9541,15.4795
2014-02-21,81.6,1.4039,15.4547
2014-02-24,81.6,1.3736,15.5502
2014-02-25,81.6,1.704,15.5872
2014-02-26,81.6,1.6867,15.5995
2014-02-27,81.6,1.7626,15.6833
2014-02-28,81.6,1.3997,15.7341
2014-03-03,80.0,2.281,15.6217
2014-03-04,80.0,1.8082,15.8613
2014-03-05,80.0,2.0212,15.8698
2014-03-06,80.0,1.6569,15.9103
2014-03-07,80.0,1.7462,15.9185
2014-03-10,80.0,2.2754,15.9069
2014-03-11,80.0,1.4166,15.8212
2014-03-12,80.0,1.7584,15.8295
2014-03-13,80.0,1.4122,15.6471
2014-03-14,80.0,2.5469,15.603
2014-03-17,80.0,1.5176,15.7532
2014-03-18,80.0,1.8702,15.8723
2014-03-19,80.0,1.4204,15.7829
2014-03-20,80.0,1.7053,15.8832
2014-03-21,80.0,1.9683,15.8358
2014-03-24,80.0,1.8481,15.6926
2014-03-25,80.0,1.7868,15.7577
2014-03-26,80.0,1.9493,15.6447
2014-03-27,80.0,1.6259,15.6224
2014-03-28,80.0,1.8894,15.6926
2014-03-31,80.0,1.3857,15.8131
2014-04-01,84.1,2.1606,15.9282
2014-04-02,84.1,1.1316,15.9749
2014-04-03,84.1,1.2085,15.8427
