Date,Sentiment Index
2014-01-01,81.2
2014-01-02,81.2
2014-01-03,81.2
2014-01-06,81.2
2014-01-07,81.2
2014-01-08,81.2
2014-01-09,81.2
2014-01-10,81.2
2014-01-13,81.2
2014-01-14,81.2
2014-01-15,81.2
2014-01-16,81.2
2014-01-17,81.2
2014-01-20,81.2
2014-01-21,81.2
2014-01-22,81.2
2014-01-23,81.2
2014-01-24,81.2
2014-01-27,81.2
2014-01-28,81.2
2014-01-29,81.2
2014-01-30,81.2
2014-01-31,81.2
2014-02-03,81.6
2014-02-04,81.6
2014-02-05,81.6
2014-02-06,81.6
2014-02-07,81.6
2014-02-10,81.6
2014-02-11,81.6
2014-02-12,81.6
2014-02-13,81.6
2014-02-14,81.6
2014-02-17,81.6
2014-02-18,81.6
2014-02-19,81.6
2014-02-20,81.6
2014-02-21,81.6
2014-02-24,81.6
2014-02-25,81.6
2014-02-26,81.6
2014-02-27,81.6
2014-02-28,81.6
2014-03-03,80.0
2014-03-04,80.0
2014-03-05,80.0
2014-03-06,80.0
2014-03-07,80.0
2014-03-10,80.0
2014-03-11,80.0
2014-03-12,80.0
2014-03-13,80.0
2014-03-14,80.0
2014-03-17,80.0
2014-03-18,80.0
2014-03-19,80.0
2014-03-20,80.0
2014-03-21,80.0
2014-03-24,80.0
2014-03-25,80.0
2014-03-26,80.0
2014-03-27,80.0
2014-03-28,80.0
2014-03-31,80.0
2014-04-01,84.1
2014-04-02,84.1
2014-04-03,84.1
2014-04-04,84.1
2014-04-07,84.1
2014-04-08,84.1
2014-04-09,84.1
2014-04-10,84.1
2014-04-11,84.1
2014-04-14,84.1
2014-04-15,84.1
2014-04-16,84.1
2014-04-17,84.1
2014-04-18,84.1
2014-04-21,84.1
2014-04-22,84.1
2014-04-23,84.1
2014-04-24,84.1
2014-04-25,84.1
2014-04-28,84.1
2014-04-29,84.1
2014-04-30,84.1
2014-05-01,81.9
2014-05-02,81.9
2014-05-05,81.9
2014-05-06,81.9
2014-05-07,81.9
2014-05-08,81.9
2014-05-09,81.9
2014-05-12,81.9
2014-05-13,81.9
2014-05-14,81.9
2014-05-15,81.9
2014-05-16,81.9
2014-05-19,81.9
2014-05-20,81.9
2014-05-21,81.9
2014-05-22,81.9
2014-05-23,81.9
2014-05-26,81.9
2014-05-27,81.9
2014-05-28,81.9
2014-05-29,81.9
2014-05-30,81.9
2014-06-02,82.5
2014-06-03,82.5
2014-06-04,82.5
2014-06-05,82.5
2014-06-06,82.5
2014-06-09,82.5
2014-06-10,82.5
2014-06-11,82.5
2014-06-12,82.5
2014-06-13,82.5
2014-06-16,82.5
2014-06-17,82.5
2014-06-18,82.5
2014-06-19,82.5
2014-06-20,82.5
2014-06-23,82.5
2014-06-24,82.5
2014-06-25,82.5
2014-06-26,82.5
2014-06-27,82.5
2014-06-30,82.5
2014-07-01,81.8
2014-07-02,81.8
2014-07-03,81.8
2014-07-04,81.8
2014-07-07,81.8
2014-07-08,81.8
2014-07-09,81.8
2014-07-10,81.8
2014-07-11,81.8
2014-07-14,81.8
2014-07-15,81.8
2014-07-16,81.8
2014-07-17,81.8
2014-07-18,81.8
2014-07-21,81.8
2014-07-22,81.8
2014-07-23,81.8
2014-07-24,81.8
2014-07-25,81.8
2014-07-28,81.8
2014-07-29,81.8
2014-07-30,81.8
2014-07-31,81.8
2014-08-01,82.5
2014-08-04,82.5
2014-08-05,82.5
2014-08-06,82.5
2014-08-07,82.5
2014-08-08,82.5
2014-08-11,82.5
2014-08-12,82.5
2014-08-13,82.5
2014-08-14,82.5
2014-08-15,82.5
2014-08-18,82.5
2014-08-19,82.5
2014-08-20,82.5
2014-08-21,82.5
2014-08-22,82.5
2014-08-25,82.5
2014-08-26,82.5
2014-08-27,82.5
2014-08-28,82.5
2014-08-29,82.5
2014-09-01,84.6
2014-09-02,84.6
2014-09-03,84.6
2014-09-04,84.6
2014-09-05,84.6
2014-09-08,84.6
2014-09-09,84.6
2014-09-10,84.6
2014-09-11,84.6
2014-09-12,84.6
2014-09-15,84.6
2014-09-16,84.6
2014-09-17,84.6
2014-09-18,84.6
2014-09-19,84.6
2014-09-22,84.6
2014-09-23,84.6
2014-09-24,84.6
2014-09-25,84.6
2014-09-26,84.6
2014-09-29,84.6
2014-09-30,84.6
2014-10-01,86.9
2014-10-02,86.9
2014-10-03,86.9
2014-10-06,86.9
2014-10-07,86.9
2014-10-08,86.9
2014-10-09,86.9
2014-10-10,86.9
2014-10-13,86.9
2014-10-14,86.9
2014-10-15,86.9
2014-10-16,86.9
2014-10-17,86.9
2014-10-20,86.9
2014-10-21,86.9
2014-10-22,86.9
2014-10-23,86.9
2014-10-24,86.9
2014-10-27,86.9
2014-10-28,86.9
2014-10-29,86.9
2014-10-30,86.9
2014-10-31,86.9
2014-11-03,88.8
2014-11-04,88.8
2014-11-05,88.8
2014-11-06,88.8
2014-11-07,88.8
2014-11-10,88.8
2014-11-11,88.8
2014-11-12,88.8
2014-11-13,88.8
2014-11-14,88.8
2014-11-17,88.8
2014-11-18,88.8
2014-11-19,88.8
2014-11-20,88.8
2014-11-21,88.8
2014-11-24,88.8
2014-11-25,88.8
2014-11-26,88.8
2014-11-27,88.8
2014-11-28,88.8
