Date,VTI US Equity,TLT US Equity,IEI US Equity,DBC US Equity,GLD US Equity
7/28/2020,162.89,170.28,133.79,12.95,183.75
7/27/2020,164.09,169.11,133.64,13.02,182.23
7/24/2020,162.69,169.74,133.74,12.9,178.7
7/23/2020,163.96,169.75,133.72,12.88,177.18
7/22/2020,165.77,167.79,133.72,12.91,175.63
7/21/2020,164.91,167.29,133.73,12.83,173
7/20/2020,164.44,167.19,133.64,12.65,170.94
7/17/2020,163.19,166.78,133.64,12.66,170.12
7/16/2020,162.57,167.13,133.66,12.64,168.73
7/15/2020,163.3,166.34,133.59,12.74,170.34
7/14/2020,161.3,167.12,133.58,12.59,170.19
7/13/2020,159.21,166.88,133.61,12.53,169.4
7/10/2020,160.95,166.33,133.55,12.66,169.19
7/9/2020,159.24,167.17,133.66,12.58,169.63
7/8/2020,160.23,164.55,133.53,12.73,170.09
7/7/2020,158.93,165.21,133.59,12.57,169.04
7/6/2020,160.56,162.92,133.45,12.56,167.98
7/2/2020,158.07,163.59,133.55,12.46,166.98
7/1/2020,157.44,163.42,133.43,12.41,166.62
6/30/2020,156.53,163.93,133.67,12.31,167.37
6/29/2020,154.25,164.73,133.72,12.25,166.63
6/26/2020,152.02,165.25,133.63,12.05,166.54
6/25/2020,155.64,163.5,133.46,12.2,165.8
6/24/2020,154.48,163.03,133.44,12.09,165.9
6/23/2020,158.79,161.3,133.37,12.4,166.48
6/22/2020,158.17,162.41,133.32,12.46,165.09
6/19/2020,157.08,162.39,133.38,12.33,164.03
6/18/2020,157.97,162.26,133.34,12.23,162.24
6/17/2020,157.84,160.56,133.28,12.16,162.56
6/16/2020,158.61,159.9,133.24,12.22,162.25
6/15/2020,155.62,162.39,133.3,12.12,162.33
6/12/2020,153.97,162.3,133.35,12.01,162.62
6/11/2020,151.87,163.88,133.42,11.96,162.39
6/10/2020,161.39,160.84,133.38,12.36,163.57
6/9/2020,162.6,158.49,132.89,12.28,161.26
6/8/2020,164.1,156.71,132.62,12.24,159.72
6/5/2020,161.9,156.11,132.55,12.32,158.01
6/4/2020,157.85,157.23,132.87,12.08,161.28
6/3/2020,158.35,159.54,133.07,11.98,159.6
6/2/2020,155.92,161.69,133.39,11.98,162.6
6/1/2020,154.75,162.28,133.48,11.85,163.66
5/29/2020,153.71,163.59,133.64,11.78,162.91
5/28/2020,153.2,162.43,133.43,11.58,161.72
5/27/2020,153.73,163.03,133.44,11.52,161.18
5/26/2020,151.34,163.33,133.43,11.67,160.89
5/22/2020,149.26,165.55,133.48,11.55,163.21
5/21/2020,148.84,164.56,133.44,11.64,162.25
5/20/2020,149.74,164.15,133.43,11.69,164.65
5/19/2020,147.02,163.66,133.42,11.49,164.26
5/18/2020,148.6,163.05,133.24,11.52,162.69
5/15/2020,143.83,166.71,133.57,11.2,163.93
5/14/2020,142.97,167.14,133.58,11.09,163.01
5/13/2020,141.45,165.52,133.5,10.9,161.58
5/12/2020,144.35,164.37,133.41,11.01,160.04
5/11/2020,147.49,162.7,133.25,11.1,159.42
5/8/2020,147.47,163.98,133.43,11.25,160.42
5/7/2020,144.75,166.14,133.57,11.02,161.39
5/6/2020,142.88,163.41,133.13,10.95,158.95
5/5/2020,143.67,166.09,133.22,11.17,161.02
5/4/2020,142.35,167.16,133.25,10.89,160.34
5/1/2020,141.81,167.95,133.22,10.76,159.78
4/30/2020,145.84,166.74,133.34,10.9,158.8
4/29/2020,147.76,168.71,133.39,10.7,161.73
4/28/2020,143.69,169.59,133.33,10.51,160.84
4/27/2020,144.14,167.66,133.09,10.5,161.56
4/24/2020,141.63,170.84,133.36,10.7,162.64
4/23/2020,139.55,170.44,133.33,10.84,163.34
4/22/2020,139.53,169.54,133.33,10.87,161.73
4/21/2020,136.45,171.29,133.52,10.72,158.61
4/20/2020,140.82,169.16,133.42,11.25,159.7
4/17/2020,143.14,167.81,133.31,11.44,158.57
4/16/2020,139.2,170.09,133.45,11.39,161.71
4/15/2020,138.55,168.18,133.45,11.42,161.85
4/14/2020,141.88,163.84,133,11.66,162.68
4/13/2020,137.7,163.88,132.83,11.76,161.41
4/9/2020,139.36,165.39,132.97,11.56,158.69
4/8/2020,136.8,165.09,132.69,11.53,154.65
4/7/2020,132.16,166.3,132.67,11.56,156.04
4/6/2020,132.01,168.06,132.89,11.48,156.88
4/3/2020,123.38,168.5,133.21,11.42,152.65
4/2/2020,125.52,168.1,133.19,11.14,151.9
4/1/2020,122.96,167.04,133.28,10.93,149.45
3/31/2020,128.91,164.97,133.34,11.25,148.05
3/30/2020,130.78,166.32,133.08,11.39,152.92
3/27/2020,126.93,167.7,133.06,11.42,152.25
3/26/2020,131.11,163.34,132.56,11.46,153.24
3/25/2020,124.22,162.54,132.3,11.5,151.3
3/24/2020,122.53,162.91,132.26,11.31,153.4
3/23/2020,111.91,166,132.89,11.07,146.3
3/20/2020,115.19,159.43,131.95,10.94,140.11
3/19/2020,120.09,148.28,130.39,11.06,138.04
3/18/2020,119.21,144.35,130.11,10.83,140.7
3/17/2020,126.5,152.98,130.96,11.2,143.56
3/16/2020,120.46,163.91,132.41,11.38,141.64
3/13/2020,135.93,153.94,131.05,12.11,143.28
3/12/2020,124.59,157.5,131.67,11.98,147.79
3/11/2020,138.01,156.53,131.52,12.48,153.93
3/10/2020,145.37,162.51,131.83,12.71,154.48
3/9/2020,138.5,171.29,132.55,12.32,157.81
3/6/2020,150.59,166.77,131.94,13.36,157.55
3/5/2020,153.44,158.52,131.45,13.81,157.49
3/4/2020,158.73,154.67,130.91,13.96,154.16
3/3/2020,152.63,156.33,131,13.95,153.89
3/2/2020,156.67,153.94,129.92,13.92,149.2
2/28/2020,150.44,155.31,130.28,13.61,148.38
2/27/2020,151.46,151.88,129.28,13.85,154
2/26/2020,158.4,150.25,128.86,14.09,153.97
2/25/2020,159.28,151.05,128.84,14.23,153.3
2/24/2020,164.3,150.25,128.61,14.5,156.09
2/21/2020,169.89,148.04,128,14.78,154.7
2/20/2020,171.65,146.67,127.72,14.84,152.41
2/19/2020,172.17,145.53,127.5,14.9,151.79
2/18/2020,171.3,145.54,127.55,14.76,150.91
2/14/2020,171.7,144.55,127.39,14.65,149
2/13/2020,171.42,143.92,127.29,14.66,148.38
2/12/2020,171.49,143.37,127.23,14.65,147.54
2/11/2020,170.42,144.1,127.4,14.45,147.66
2/10/2020,169.95,144.83,127.58,14.4,148.17
2/7/2020,168.71,144.43,127.39,14.53,147.79
2/6/2020,169.68,142.65,127.09,14.61,147.4
2/5/2020,169.21,142.01,127.08,14.55,146.61
2/4/2020,167.56,143.58,127.35,14.33,146.43
2/3/2020,164.96,145.54,127.73,14.31,148.36
1/31/2020,163.52,145.9,128.06,14.58,149.33
1/30/2020,166.46,144.58,127.67,14.7,148.47
1/29/2020,166.06,144.56,127.56,14.83,148.46
1/28/2020,166.17,143.16,127.25,14.9,147.66
1/27/2020,164.58,144.29,127.42,14.83,148.99
1/24/2020,167.09,142.08,126.98,15.11,147.98
1/23/2020,168.69,140.94,126.76,15.34,147.12
1/22/2020,168.5,139.96,126.6,15.47,146.79
1/21/2020,168.4,139.47,126.58,15.68,146.74
1/17/2020,168.76,138.02,126.29,15.77,146.58
1/16/2020,168.34,139.21,126.31,15.72,146.31
1/15/2020,166.91,139.65,126.4,15.74,146.54
1/14/2020,166.5,138.73,126.26,15.82,145.69
1/13/2020,166.59,138.02,126.13,15.75,145.82
1/10/2020,165.46,138.44,126.2,15.87,146.91
1/9/2020,165.94,137.22,126.08,15.87,146.03
1/8/2020,164.91,136.74,126.08,15.94,146.86
1/7/2020,164.1,137.645,126.25,16.18,147.97
1/6/2020,164.49,138.33,126.3,16.19,147.39
1/3/2020,163.93,139.12,126.37,16.16,145.86
1/2/2020,164.98,137.015,125.97,15.97,143.95
12/31/2019,163.62,135.48,125.75,15.95,142.9
12/30/2019,163.19,136.82,125.89,16.05,142.63
12/27/2019,164.08,137.32,125.86,16.08,142.33
12/26/2019,164.23,137.17,125.64,16.05,142.38
12/24/2019,163.44,136.84,125.54,15.93,141.27
12/23/2019,164.29,136.45,125.41,15.86,139.95
12/20/2019,164.19,136.65,125.48,16.11,139.52
12/19/2019,163.35,136.47,125.5,16.13,139.38
12/18/2019,162.64,136.47,125.6,16.06,139.02
12/17/2019,162.57,137.6,125.73,16.05,139.01
12/16/2019,162.51,137.79,125.72,15.98,139.04
12/13/2019,161.33,139.04,126.01,15.87,139.05
12/12/2019,161.33,137.45,125.57,15.79,138.43
12/11/2019,160.02,139.75,126.09,15.65,138.92
12/10/2019,159.64,138.66,125.81,15.72,137.97
12/9/2019,159.78,138.65,125.93,15.65,137.58
12/6/2019,160.29,138.35,125.94,15.67,137.62
12/5/2019,158.88,139.12,126.16,15.57,139
12/4/2019,158.65,139.8,126.3,15.54,138.92
12/3/2019,157.63,141.21,126.58,15.3,139.11
12/2/2019,158.57,138.31,125.97,15.29,137.79
11/29/2019,160.02,140.42,126.31,15.31,137.86
11/27/2019,160.74,140.72,126.3,15.62,137.01
11/26/2019,159.98,141.13,126.5,15.7,137.74
11/25/2019,159.64,140.31,126.36,15.61,137.08
11/22/2019,158.14,139.9,126.35,15.61,137.74
11/21/2019,157.79,139.72,126.38,15.62,138
11/20/2019,158.19,140.6,126.55,15.48,138.76
11/19/2019,158.69,139.16,126.29,15.28,138.69
11/18/2019,158.64,138.01,126.25,15.42,138.62
11/15/2019,158.55,137.76,126.11,15.58,138.21
11/14/2019,157.35,137.91,126.24,15.5,138.56
11/13/2019,157.19,136.5,125.87,15.55,137.98
11/12/2019,157.12,135.62,125.65,15.52,137.43
11/11/2019,156.85,135,125.57,15.51,137.06
11/8/2019,157.16,134.91,125.52,15.61,137.39
11/7/2019,156.72,135.48,125.57,15.57,138.27
11/6/2019,156.19,137.98,126.14,15.58,140.45
11/5/2019,156.26,137.15,125.93,15.75,139.85
11/4/2019,156.4,138.71,126.31,15.71,142.15
11/1/2019,155.83,140.56,126.61,15.61,142.56
10/31/2019,154.18,141.24,126.97,15.33,142.43
10/30/2019,154.72,139.36,126.44,15.42,141.02
10/29/2019,154.35,137.35,126.13,15.52,140.25
10/28/2019,154.38,137.26,126.11,15.55,140.64
10/25/2019,153.45,138.52,126.29,15.61,141.86
10/24/2019,152.84,139.2,126.48,15.52,141.53
10/23/2019,152.42,139.48,126.45,15.44,140.53
10/22/2019,152.11,139.34,126.5,15.25,140.2
10/21/2019,152.57,138.53,126.35,15.23,139.79
10/18/2019,151.58,139.58,126.63,15.25,140.46
10/17/2019,152.19,139.58,126.52,15.26,140.61
10/16/2019,151.69,139.92,126.56,15.2,140.41
10/15/2019,151.97,139.75,126.38,15.18,139.61
10/14/2019,150.49,141.46,126.65,15.22,140.59
10/11/2019,150.63,140.44,126.57,15.29,140.03
10/10/2019,149.03,142.2,127.04,15.11,140.81
10/9/2019,148.08,144.35,127.52,15.01,142.05
10/8/2019,146.73,145.17,127.67,14.97,141.92
10/7/2019,149.14,144.78,127.51,14.98,140.69
10/4/2019,149.73,145.99,127.8,15,141.9
10/3/2019,147.8,144.92,127.7,14.88,141.9
10/2/2019,146.61,143.61,127.23,14.9,141.26
10/1/2019,149.03,143.26,126.9,15.03,139.63
9/30/2019,151,143.08,126.8,15.04,138.87
9/27/2019,150.3,142.73,126.72,15.19,141.06
9/26/2019,151.2,142.38,126.57,15.25,141.79
9/25/2019,151.66,141.47,126.44,15.25,141.83
9/24/2019,150.71,143.57,126.94,15.34,144.51
9/23/2019,152.12,141.86,126.55,15.52,143.75
9/20/2019,152.04,141.89,126.41,15.48,142.95
9/19/2019,152.71,140.04,126.06,15.46,141.28
9/18/2019,152.81,139.62,125.96,15.38,140.71
9/17/2019,152.83,139.03,126.02,15.48,141.6
9/16/2019,152.46,138.28,125.84,15.78,141.32
9/13/2019,153.47,136.54,125.52,15.11,140.15
9/12/2019,153.62,139.52,126.18,15.11,141.32
9/11/2019,153.16,140.44,126.37,15.17,141.03
9/10/2019,151.92,140.69,126.45,15.28,140.18
9/9/2019,151.77,143.2,127,15.26,141.39
9/6/2019,151.68,145.79,127.39,15.12,141.92
9/5/2019,151.65,144.76,127.34,15.08,143.14
9/4/2019,149.65,147.43,128.02,15.1,146.66
9/3/2019,148.07,147.21,127.81,14.75,145.75
8/30/2019,149.04,147.28,127.75,14.83,143.75
8/29/2019,149.09,147.24,127.73,15.07,144.12
8/28/2019,147.14,147.8,127.86,15.03,145.16
8/27/2019,146.1,147.61,127.83,14.9,145.57
8/26/2019,146.78,145.37,127.59,14.8,144.19
8/23/2019,145.31,145.96,127.68,14.81,144.17
8/22/2019,149.07,143.6,127.17,14.92,141.4
8/21/2019,149.2,144.56,127.32,14.99,141.76
8/20/2019,147.95,145.53,127.56,14.94,142.21
8/19/2019,149.09,144.04,127.25,14.9,141.11
8/16/2019,147.34,146.13,127.63,14.83,142.78
8/15/2019,145.14,147.31,127.68,14.84,143.7
8/14/2019,144.87,145.69,127.16,14.96,142.75
8/13/2019,149.18,142.48,126.77,15.19,141.78
8/12/2019,147.08,142.97,127.14,14.84,142.63
8/9/2019,148.92,140.05,126.72,14.95,141.26
8/8/2019,149.99,140.33,126.89,14.82,141.73
8/7/2019,147.19,140.03,126.92,14.74,141.02
8/6/2019,147.03,139.98,126.93,14.93,138.91
8/5/2019,145.14,138.87,126.83,15.01,137.79
8/2/2019,149.58,136.51,126.15,15.14,135.89
8/1/2019,150.8,135.26,126.05,15.12,136.41
7/31/2019,152.21,132.89,125.35,15.55,133.21
7/30/2019,153.89,131.83,125.3,15.65,134.98
7/29/2019,154.04,131.51,125.27,15.56,134.53
7/26/2019,154.41,131.47,125.22,15.5,133.64
7/25/2019,153.3,131.16,125.22,15.48,133.42
7/24/2019,154.12,131.79,125.39,15.54,134.37
7/23/2019,153.18,131.22,125.32,15.61,133.69
7/22/2019,152.16,131.94,125.44,15.51,134.45
7/19/2019,151.8,131.69,125.39,15.56,134.47
7/18/2019,152.67,132,125.62,15.47,136.48
7/17/2019,152.11,131.99,125.33,15.58,134.58
7/16/2019,153.12,130.58,124.98,15.72,132.4
7/15/2019,153.51,130.97,125.17,15.89,133.53
7/12/2019,153.61,130.22,125.03,16.06,133.53
7/11/2019,152.83,130.07,124.95,16.02,132.7
7/10/2019,152.62,131.83,125.25,16.01,133.83
7/9/2019,152,132.56,124.97,15.67,131.75
7/8/2019,151.73,132.61,125.08,15.62,131.29
7/5/2019,152.55,132.43,125.21,15.64,132.14
7/3/2019,152.64,134.21,125.73,15.61,133.63
7/2/2019,151.5,133.26,125.66,15.46,133.41
7/1/2019,151.15,132.24,125.44,15.72,130.62
6/28/2019,150.09,132.81,125.76,15.73,133.2
6/27/2019,149.05,132.9,125.73,15.9,132.84
6/26/2019,148.16,131.97,125.49,15.9,132.97
6/25/2019,148.44,132.82,125.88,15.82,134.2
6/24/2019,149.86,132.41,125.74,15.77,133.94
6/21/2019,150.7,131.43,125.49,15.7,131.98
6/20/2019,150.68,132.89,125.73,15.66,131.11
6/19/2019,149.31,132.54,125.62,15.35,127.89
6/18/2019,148.8,132.35,125.25,15.38,127.12
6/17/2019,147.19,131.69,125.17,15.2,126.48
6/14/2019,147.63,131.46,125.2,15.27,126.56
6/13/2019,147.95,131.13,125.22,15.21,126.6
6/12/2019,147.27,130.68,124.99,15.02,125.83
6/11/2019,147.47,130.58,124.75,15.23,125.18
6/10/2019,147.61,130.5,124.76,15.13,125.33
6/7/2019,146.79,131.74,125.13,15.17,126.59
6/6/2019,145.47,130.61,124.86,15.12,125.88
6/5/2019,144.66,130.19,124.98,14.86,125.47
6/4/2019,143.56,130.93,124.87,15.17,125.15
6/3/2019,140.41,132.44,125.11,15.08,125.11
5/31/2019,140.69,131.83,124.9,15.13,123.33
5/30/2019,142.61,130.2,124.3,15.54,121.69
5/29/2019,142.33,129.09,124.03,15.7,120.87
5/28/2019,143.31,128.79,124.08,15.76,120.83
5/24/2019,144.58,127.78,123.8,15.63,121.3
5/23/2019,144.23,127.67,123.84,15.42,121.17
5/22/2019,146.09,126.25,123.38,15.75,120.24
5/21/2019,146.62,125.53,123.11,15.98,120.36
5/20/2019,145.2,125.73,123.25,15.97,120.64
5/17/2019,146.24,125.99,123.42,15.9,120.65
5/16/2019,147.28,125.71,123.39,16.05,121.51
5/15/2019,145.96,126.13,123.52,15.96,122.39
5/14/2019,145.1,125.36,123.26,15.82,122.46
5/13/2019,143.8,125.73,123.32,15.61,122.67
5/10/2019,147.53,124.75,122.88,15.69,121.43
5/9/2019,146.85,124.92,122.93,15.66,121.2
5/8/2019,147.32,124.41,122.72,15.74,120.91
5/7/2019,147.56,124.95,122.85,15.72,121.21
5/6/2019,150.15,124,122.64,15.92,120.81
5/3/2019,150.63,123.66,122.43,15.87,120.65
5/2/2019,149.02,123.31,122.34,15.86,119.94
5/1/2019,149.27,123.9,122.55,16.04,120.4
4/30/2019,150.39,123.65,122.91,16.09,121.2
4/29/2019,150.38,123.02,122.73,16.04,120.83
4/26/2019,150.16,123.81,122.86,16.03,121.37
4/25/2019,149.35,123.39,122.61,16.22,120.57
4/24/2019,149.6,123.57,122.71,16.25,120.47
4/23/2019,149.8,122.57,122.43,16.31,120.12
4/22/2019,148.31,122.31,122.27,16.29,120.37
4/18/2019,148.27,122.9,122.33,16.21,120.37
4/17/2019,148.05,122.26,122.18,16.16,120.28
4/16/2019,148.6,122.21,122.12,16.22,120.51
4/15/2019,148.56,122.98,122.33,16.28,121.6
4/12/2019,148.68,122.67,122.25,16.31,121.83
4/11/2019,147.69,123.55,122.58,16.26,121.95
4/10/2019,147.7,124.28,122.75,16.34,123.53
4/9/2019,147.02,123.98,122.58,16.2,123.15
4/8/2019,147.91,123.59,122.47,16.23,122.51
4/5/2019,147.78,124.03,122.58,16.17,121.98
4/4/2019,147.04,123.87,122.55,16.12,122.11
4/3/2019,146.73,123.52,122.49,16.11,121.8
4/2/2019,146.38,124.6,122.66,16.09,121.98
4/1/2019,146.39,124.37,122.5,16.05,121.53
3/29/2019,144.71,126.44,123.2,15.9,122.01
3/28/2019,143.76,126.56,123.36,15.89,121.9
3/27/2019,143.13,126.12,123.41,15.94,123.65
3/26/2019,143.79,124.97,123.2,16.03,124.3
3/25/2019,142.69,125.06,123.25,16,124.92
3/22/2019,143.56,124.86,122.99,15.94,123.97
3/21/2019,146.62,122.95,122.44,16.08,123.68
3/20/2019,144.92,122.68,122.5,16.16,124.18
3/19/2019,145.52,121.41,121.96,16.04,123.38
3/18/2019,145.55,121.68,122.02,16,123.04
3/15/2019,145.01,121.75,122.11,15.92,122.97
3/14/2019,144.34,120.95,121.91,15.92,122.41
3/13/2019,144.46,121.83,121.98,15.99,123.84
3/12/2019,143.54,122.06,121.98,15.89,122.98
3/11/2019,143.06,121.21,121.8,15.79,122.24
3/8/2019,140.99,121.57,121.88,15.77,122.84
3/7/2019,141.28,121.06,121.79,15.78,121.51
3/6/2019,142.39,120.28,121.5,15.82,121.61
3/5/2019,143.48,119.84,121.28,15.91,121.72
3/4/2019,143.75,119.59,121.26,15.83,121.56
3/1/2019,144.42,118.66,121.05,15.78,121.88
2/28/2019,143.46,120.02,121.53,15.96,123.99
2/27/2019,143.76,120.43,121.68,16,124.69
2/26/2019,143.71,121.81,121.88,15.92,125.58
2/25/2019,143.98,121.21,121.68,15.85,125.37
2/22/2019,143.77,121.57,121.76,16.09,125.5
2/21/2019,142.83,120.85,121.55,16.05,125.05
2/20/2019,143.32,121.94,121.74,16,126.48
2/19/2019,143.02,122.29,121.75,15.95,126.7
2/15/2019,142.74,121.98,121.6,15.91,124.8
2/14/2019,141.19,121.79,121.68,15.62,124.06
2/13/2019,141.44,121.1,121.35,15.58,123.37
2/12/2019,141,121.555,121.53,15.49,123.86
2/11/2019,139.26,121.87,121.64,15.4,123.6
2/8/2019,138.97,122.35,121.75,15.49,124.21
2/7/2019,138.83,121.83,121.66,15.47,123.74
2/6/2019,140.16,121.03,121.44,15.62,123.44
2/5/2019,140.3,120.97,121.36,15.6,124.28
2/4/2019,139.72,120.42,121.24,15.67,123.96
2/1/2019,138.73,120.96,121.37,15.66,124.5
1/31/2019,138.53,121.97,122.03,15.52,124.75
1/30/2019,137.32,120.93,121.69,15.6,124.69
1/29/2019,135.28,121.02,121.44,15.49,123.98
1/28/2019,135.47,120.41,121.19,15.34,123.29
1/25/2019,136.47,120.53,121.17,15.55,122.86
1/24/2019,135.2,121.11,121.35,15.47,121.09
1/23/2019,134.92,120.32,121.12,15.43,121.28
1/22/2019,134.78,120.37,121.17,15.45,121.45
1/18/2019,136.65,119.56,120.92,15.56,121.02
1/17/2019,134.9,120.19,121.17,15.4,122.11
1/16/2019,133.82,120.16,121.31,15.39,122.27
1/15/2019,133.44,120.04,121.35,15.31,121.88
1/14/2019,132,120.48,121.4,15.19,122.09
1/11/2019,132.84,120.93,121.42,15.32,121.8
1/10/2019,132.81,120.46,121.2,15.37,121.59
1/9/2019,132.16,121.24,121.22,15.41,122.31
1/8/2019,131.54,121.43,121.12,15.11,121.53
1/7/2019,130.2,121.75,121.34,14.96,121.86
1/4/2019,128.9,122.11,121.58,14.85,121.44
1/3/2019,124.77,123.54,122.26,14.65,122.43
1/2/2019,127.73,122.15,121.57,14.53,121.33
12/31/2018,127.63,121.51,121.4,14.49,121.25
12/28/2018,126.43,121.05,121.2,14.45,121.06
12/27/2018,126.59,120.04,120.77,14.57,120.57
12/26/2018,125.46,120.02,120.48,14.71,119.66
12/24/2018,119.7,121.32,120.81,14.39,120.02
12/21/2018,123.49,120.72,120.55,14.74,118.72
12/20/2018,126.17,120.74,120.46,14.87,119.24
12/19/2018,128.24,121.18,120.51,15.01,117.43
12/18/2018,130.24,119.6,120.38,14.95,118.15
12/17/2018,130.28,119.17,120.41,15.27,117.87
12/14/2018,133.12,118.48,120.18,15.45,117.06
12/13/2018,135.46,118.07,120.03,15.69,117.53
12/12/2018,135.79,118.35,119.95,15.49,117.79
12/11/2018,135.02,118.88,120.12,15.54,117.54
12/10/2018,135.05,118.9,120.31,15.45,117.68
12/7/2018,134.9,118.41,120.29,15.7,118.09
12/6/2018,138.16,118.19,119.98,15.52,117.14
12/4/2018,138.33,117.82,119.77,15.65,117.12
12/3/2018,143,115.88,119.56,15.64,116.41
11/30/2018,141.35,115.33,119.7,15.29,115.54
11/29/2018,140.34,114.9,119.61,15.36,115.74
